"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"5088",5088,0.230804,3.02934,2.07298,8.34112,3,2,-1.035159995,28006575.42,52.2882,64.6362,112.817,0.481367,-0.226219,-0.292414,5.39635824074072,1338.59001410243,464.677861701568,-2384.05
"5149",5149,0.217141,1.57936,1.28576,3.62363,3,2,-1.041917749,27360458.85,257.985,87.3279,51.1046,0.331056,-0.451277,-0.217667,5.45596402777842,1536.4015248104,1735.83665117281,-2159.01
"5166",5166,0.247276,0.70853,0.526049,1.58317,3,2,-1.042953938,27262714.34,78.8699,81.3799,-50.1194,0.0871501,-0.815641,-0.0972087,5.50025511574138,1516.2616222337,1725.90887196497,-2158.95
"5192",5192,0.263134,25.2604,13.2785,335.764,3,2,-1.045206523,27051429.23,60.3354,66.6049,-85.1341,0.481469,-0.393435,0.125096,5.29801555555452,1233.39345212282,484.561704388571,-2469.73
"5210",5210,0.217337,0.907224,0.593211,1.73669,3,2,-1.047369004,26850136.26,260.42,87.5509,-137.393,0.309131,0.477724,0.213145,5.44732534722322,1526.77413665495,1727.25944591706,-2158.83
"5275",5275,0.305108,0.953395,0.592447,2.991,3,2,-1.053450983,26291994.06,262.336,89.6843,-135.532,0.169097,0.703865,0.127039,5.49404620370379,1532.23215613963,1711.8586602228,-2087.11
"5276",5276,0.270192,0.61466,0.609169,1.30104,3,2,-1.053496034,26287903.33,55.8622,65.5376,94.6945,0.545171,0.286974,-0.167855,5.30604543981453,1232.21081143572,475.991570200552,-2435.01
"5292",5292,0.242392,1.26326,1.37481,4.40841,3,2,-1.055748619,26084172.97,261.045,89.1452,42.4216,0.217126,-0.630382,-0.152492,5.36386428240825,1469.99537047091,1715.37298092527,-2188.87
"5322",5322,0.218005,1.773,1.3629,4.59082,3,2,-1.058676979,25821682.19,79.9405,88.0633,-39.1277,0.33934,-0.582854,-0.0778059,5.63732421296338,1569.96406807419,1737.02459056524,-2200.93
"5354",5354,0.2353,1.38574,1.35917,3.4539,3,2,-1.061785546,25545927.84,264.594,82.3511,-145.826,0.319606,0.44865,0.231744,5.45760150462941,1511.13964171835,1725.47046576064,-2138.03
"5363",5363,0.185027,1.67891,1.78067,5.50601,3,2,-1.062911838,25446745.3,267.123,80.8274,-145.757,0.308196,0.436989,0.254814,5.32985418981424,1518.55353416826,1801.19453095792,-2279.05
"5418",5418,0.14928,1.73074,0.728479,3.61797,3,2,-1.068903713,24925531.66,262.122,87.1639,40.6028,0.344649,-0.467813,-0.187538,5.62431863426058,1585.99494103947,1808.24438556633,-2218.97
"5440",5440,0.147807,7.19088,6.14345,52.4797,3,2,-1.07174197,24682380.61,88.5101,63.323,-133.139,0.298902,0.373769,0.327329,5.58039539351783,1140.85059479776,953.444210993354,-2480.37
"5486",5486,0.237448,1.03138,0.684501,1.86664,3,2,-1.075706519,24346706.56,267.737,84.1726,40.4207,0.299782,-0.470234,-0.229984,5.4111471759252,1514.86451545251,1726.17757254182,-2158.88
"5495",5495,0.273625,3.01959,1.85765,45.2292,3,2,-1.076066933,24316418.01,61.2903,74.3111,-56.6779,0.608033,-0.280432,0.111535,5.47843127314691,1494.86954108832,1043.44476210276,-2420.14
"5515",5515,0.14261,2.82069,2.82203,20.5765,3,2,-1.07732838,24210704.67,262.232,78.9658,-143.579,0.385209,0.356071,0.25872,5.49897763888869,1659.73015383295,1795.29726040281,-2253.45
"5534",5534,0.312889,3.47537,2.45196,22.4058,3,2,-1.079941378,23993186.68,59.6931,67.2306,-77.9784,0.694327,-0.129634,0.176039,5.32166863426014,1254.98807332529,471.946919412185,-2431.96
"5543",5543,0.232367,22.7288,13.7845,295.174,3,2,-1.080842412,23918634.48,54.4073,66.7932,-79.325,0.4623,-0.383117,0.154583,5.31760743055631,1236.0772580451,469.670035576784,-2458.03
"5592",5592,0.205308,3.59848,2.99881,13.1767,3,2,-1.085392633,23545669.87,58.6703,70.4085,-109.117,0.688391,-0.161374,0.150235,5.41492562499863,1182.17443340706,476.762316592064,-2446.74
"5637",5637,0.226246,4.95745,3.17381,38.705,3,2,-1.088906665,23261622.45,49.8846,68.7463,-107.193,0.401537,-0.478531,0.119931,5.33952817129592,1183.84930714123,480.368561176099,-2431.11
"5683",5683,0.139818,4.75841,4.47238,25.3741,3,2,-1.092600904,22966702.46,52.4559,70.6507,63.4832,0.318161,0.541621,-0.140218,5.41355222222154,1173.78804063828,993.926074216284,-2351.33
"5693",5693,0.309603,0.7609,0.788511,32.3569,3,2,-1.093862352,22866856.8,64.6344,70.9107,-105.826,0.643936,-0.156588,0.199476,5.46566423611233,1247.04161197575,1059.33345147604,-2415.29
"5767",5767,0.144732,5.6627,5.13532,43.6426,3,2,-1.101295881,22287234.29,56.435,73.309,-110.487,0.360491,-0.555254,0.084255,5.40185331018435,1107.34330791009,500.648383660565,-2420.59
"5790",5790,0.315517,2.09038,1.74954,4.23383,3,2,-1.103458362,22121392.27,66.9982,77.6011,-73.0799,0.405211,-0.568872,-0.0259173,5.48929625000115,1545.48535636847,1000.88400494318,-2419.98
"5803",5803,0.232822,3.06223,3.12731,23.3175,3,2,-1.104945068,22008092.26,61.511,72.5058,-99.0823,0.564625,-0.265859,0.169516,5.40889543981464,1281.32724330498,980.971877984942,-2378.74
"5807",5807,0.20507,3.61005,2.31442,18.3112,3,2,-1.106026309,21926056.88,60.6327,67.5536,113.306,0.460181,0.43611,-0.103709,5.31456571759173,1234.60200551342,483.706105183321,-2408.77
"5809",5809,0.288755,0.985183,0.970741,2.00885,3,2,-1.106206516,21912414.07,57.9625,64.7628,80.2003,0.464614,0.392276,-0.14311,5.35752506944316,1167.50402576697,482.998998402134,-2435.11
"5815",5815,0.105739,6.76045,5.27949,30.8138,3,2,-1.107017446,21851126.49,253.258,47.7225,-83.3926,0.242644,-0.218743,0.538613,5.34451780092661,1256.15263684264,423.354541409065,-2382.79
"5828",5828,0.135598,1.63332,1.33165,3.00907,3,2,-1.108053635,21773063.92,59.6105,66.0541,-92.3166,0.741611,-0.0147398,0.243649,5.296852430555,1229.08738431096,473.580336076724,-2440.43
"5829",5829,0.25174,1.63282,1.56266,4.21434,3,2,-1.108053635,21773063.92,43.9171,67.8891,-109.982,0.155474,-0.841863,0.00266315,5.32166229166642,990.641356237311,690.442914798828,-2416.5
"5891",5891,0.12554,4.48921,3.48903,15.2757,3,2,-1.114360872,21303879.26,65.4179,65.2044,-79.6151,0.509042,-0.340728,0.15023,5.38987775462921,1287.25152929258,465.582958381506,-2406.17
"5894",5894,0.11911,6.12923,4.55598,35.4401,3,2,-1.114405924,21300564.54,227.744,50.193,-101.224,0.219045,-0.225337,0.555618,5.32471960648066,1188.14471478129,488.80434507569,-2441.06
"5977",5977,0.128411,1.94789,1.71166,4.10224,3,2,-1.121839453,20760643.96,43.8342,69.2116,-84.0224,0.365615,0.338767,0.295619,5.42213298611067,1194.6673554684,489.822578840601,-2414.61
"5998",5998,0.112588,7.12227,5.04645,16.9624,3,2,-1.123055849,20673605.59,55.6508,61.6356,-57.3867,0.625795,-0.171885,0.20232,5.29711006944378,1329.45001410241,477.603773661677,-2428.65
"6010",6010,0.221836,1.16264,1.08276,3.45,3,2,-1.124452451,20574122.6,256.955,87.2801,-137.369,0.341786,0.433897,0.224317,5.58081805555633,1526.94413665496,1727.01902961144,-2158.86
"6026",6026,0.104372,6.73803,5.11289,32.7148,3,2,-1.125713899,20484678.47,196.53,78.5383,-28.8436,0.281443,0.54864,0.169917,5.57765458333272,1317.7548839921,939.698055167086,-2361.06
"6045",6045,0.156468,4.19985,1.94809,4.71396,3,2,-1.127290708,20373419.99,238.881,55.1026,-122.357,0.125644,-0.208882,0.665474,5.29037729166724,1264.60414113717,475.418813707793,-2473.71
"6113",6113,0.150346,3.18428,2.58407,13.6066,3,2,-1.133823204,19918892.79,72.6167,88.9521,-43.3577,0.39447,-0.384831,-0.220699,5.58111817129508,1814.72289899459,1851.80216328741,-2325.84
"6116",6116,0.291523,2.18039,1.59431,9.61257,3,2,-1.134318772,19884828.15,53.972,72.195,-81.8921,0.772655,-0.0202517,0.207094,5.47642872685084,1462.25001025795,729.376214170958,-2338.91
"6119",6119,0.230273,4.14834,3.31912,15.2257,3,2,-1.134814341,19850821.7,37.0548,64.5466,62.4666,0.166293,0.706659,-0.127048,5.41101900463027,1177.67902576696,468.609375405004,-2445.95
"6189",6189,0.138117,2.52489,3.08816,8.47487,3,2,-1.140400751,19471475.99,253.163,88.9089,45.5198,0.326398,-0.47925,-0.194352,5.29741796296228,1493.15520446684,1791.87486358185,-2283.45
"6229",6229,0.345605,2.51317,1.5891,24.9296,3,2,-1.14382468,19242565.79,64.2211,78.5171,106.307,0.492318,0.487965,0.0197164,5.48849134259202,1573.77691834808,1089.76025627048,-2471.35
"6270",6270,0.138967,1.34342,1.35391,2.9189,3,2,-1.14702335,19031147.49,61.941,64.8481,87.8626,0.482264,0.26713,-0.250606,5.29630666666561,1254.11885976293,469.7619594583,-2447.15
"6308",6308,0.224015,0.846051,0.687715,2.42488,3,2,-1.149861606,18845496.81,75.8549,86.0667,-48.1784,0.268107,-0.599218,-0.132675,5.45387810185276,1568.13196129301,1737.90847404173,-2158.93
"6320",6320,0.151636,4.9134,2.9008,26.4543,3,2,-1.150672537,18792787.13,256.044,88.386,36.8559,0.337325,-0.646191,-0.0164838,5.25525840277749,1618.8267664464,1743.03499820533,-2219.9
"6366",6366,0.086101,6.31177,5.55677,30.5147,3,2,-1.154186569,18566076.97,52.6414,62.0576,86.777,0.275248,0.525777,-0.198975,5.33436057870311,944.74649339884,613.658189429763,-2413.64
